Genre,Type,Source,Producer,Studio,Rating,Members,ScoredBy,Episodes,C_Popular
3,5,9,60,9,6.77,9687.0,3292.0,26.0,1
0,5,9,2,15,7.38,77588.0,28372.0,26.0,0
0,5,9,61,9,7.28,34549.0,14384.0,24.0,0
19,5,9,32,28,6.0,16738.0,7826.0,9.0,0
1,5,6,18,11,7.26,42702.0,19758.0,12.0,0
1,5,6,33,11,7.25,24258.0,12772.0,14.0,0
0,5,4,3,24,6.86,7111.0,3083.0,51.0,1
20,5,8,62,26,7.23,24422.0,6721.0,13.0,0
6,5,6,3,3,7.01,1756.0,370.0,51.0,1
0,5,6,12,26,7.35,11380.0,3529.0,50.0,1
0,5,6,26,24,7.11,9136.0,3608.0,12.0,1
6,5,15,62,26,7.14,7015.0,3362.0,25.0,1
0,5,6,63,24,7.42,31460.0,15579.0,24.0,0
0,5,6,64,2,6.8,62117.0,39605.0,51.0,0
1,5,12,58,12,6.65,14430.0,6058.0,13.0,1
0,5,5,0,0,7.79,32085.0,13083.0,13.0,0
0,5,5,0,0,7.79,32085.0,13083.0,13.0,0
2,5,6,5,5,6.95,14872.0,7060.0,26.0,0
1,5,9,42,2,6.82,13770.0,6285.0,16.0,1
6,5,9,35,49,6.02,8890.0,2871.0,13.0,1
6,5,9,65,49,6.36,5384.0,1813.0,13.0,1
0,5,6,66,24,6.8,42266.0,20374.0,12.0,0
6,5,6,0,15,6.7,53010.0,28005.0,12.0,0
5,3,9,0,15,6.69,26821.0,13644.0,4.0,0
0,3,6,0,34,6.91,18314.0,8831.0,4.0,0
1,5,0,0,12,7.01,17571.0,7642.0,48.0,0
1,0,9,0,16,7.63,32684.0,18564.0,1.0,0
1,5,9,67,11,7.35,57249.0,24331.0,13.0,0
1,5,9,19,49,6.24,3874.0,974.0,13.0,1
21,5,6,62,2,7.04,5635.0,1362.0,26.0,1
0,0,15,68,50,6.7,2146.0,793.0,1.0,1
1,3,15,69,16,6.33,3319.0,1325.0,3.0,1
1,5,9,37,33,6.82,20854.0,10390.0,10.0,0
0,3,9,53,40,6.66,34570.0,18912.0,2.0,0
0,5,9,8,35,6.06,10826.0,4999.0,12.0,1
8,5,6,12,2,7.9,105374.0,52684.0,12.0,0
3,5,9,59,0,7.77,20642.0,5539.0,47.0,0
3,5,9,59,0,7.77,20642.0,5539.0,47.0,0
18,5,6,70,2,7.36,39121.0,20653.0,4.0,0
11,5,9,71,12,6.07,6494.0,2372.0,10.0,1
2,5,6,0,0,8.36,138203.0,46131.0,26.0,0
1,5,6,0,6,7.39,107783.0,61329.0,13.0,0
6,5,6,67,27,7.73,6589.0,1992.0,45.0,1
6,5,6,3,27,7.38,2519.0,874.0,38.0,1
1,5,6,72,34,7.62,30193.0,12280.0,76.0,0
1,5,6,3,10,7.39,28559.0,12103.0,26.0,0
20,5,12,41,15,6.5,10306.0,3114.0,13.0,1
1,5,6,23,51,6.32,8569.0,3745.0,24.0,1
9,5,6,73,14,8.38,44118.0,14033.0,40.0,0
22,5,9,3,50,8.0,290496.0,118202.0,13.0,0
0,5,6,3,8,7.65,16555.0,7192.0,26.0,0
2,5,6,3,4,7.35,40493.0,17578.0,25.0,0
2,5,5,37,4,7.05,11270.0,3952.0,13.0,1
3,5,6,31,24,7.45,6937.0,2710.0,20.0,1
8,5,6,27,6,7.77,30871.0,10253.0,12.0,0
8,5,6,27,6,7.77,30871.0,10253.0,12.0,0
0,5,4,12,15,6.72,5435.0,2159.0,22.0,1
1,5,9,60,19,6.52,14148.0,6018.0,13.0,1
1,5,9,72,34,7.2,25944.0,11888.0,51.0,0
1,5,15,72,34,7.56,8045.0,3547.0,51.0,1
1,5,15,32,32,5.68,6646.0,2628.0,12.0,1
0,5,12,37,10,7.52,498122.0,273933.0,24.0,0
1,3,5,37,22,6.75,137531.0,80501.0,4.0,0
0,3,6,12,52,6.42,3873.0,1621.0,2.0,1
15,5,6,3,26,7.59,8398.0,2126.0,37.0,1
0,3,9,0,35,6.0,20994.0,9973.0,7.0,0
23,5,5,6,2,7.21,57896.0,16562.0,12.0,0
0,5,9,39,53,6.66,7382.0,3133.0,13.0,1
1,0,6,0,2,7.72,67313.0,40910.0,1.0,0
1,0,6,0,2,8.29,75586.0,46101.0,1.0,0
3,3,6,23,35,6.76,7099.0,3068.0,6.0,1
0,3,15,11,37,6.48,3947.0,1556.0,12.0,1
0,5,9,11,37,6.63,4719.0,1808.0,12.0,1
18,4,6,6,40,7.3,136445.0,84977.0,1.0,0
0,3,15,0,54,6.84,6470.0,3032.0,6.0,1
1,5,6,2,4,7.55,78337.0,35021.0,26.0,0
2,5,6,74,24,6.75,28593.0,8069.0,26.0,0
1,5,15,72,37,7.36,5553.0,2000.0,41.0,1
8,5,14,20,49,8.04,151619.0,60360.0,13.0,0
0,3,9,75,55,7.5,50215.0,23164.0,6.0,0
21,5,6,10,8,7.32,80407.0,39421.0,26.0,0
6,3,4,37,54,6.91,18286.0,8683.0,4.0,0
0,5,6,46,6,8.48,272083.0,135360.0,112.0,0
6,0,9,25,1,7.17,45132.0,23249.0,1.0,0
1,5,6,37,4,7.23,43290.0,24623.0,12.0,0
0,5,6,13,9,7.23,106224.0,65701.0,13.0,0
0,5,5,0,0,7.82,21910.0,10464.0,13.0,0
0,3,5,0,0,7.81,12649.0,6740.0,2.0,1
0,4,5,0,0,7.43,2484.0,913.0,1.0,1
24,3,6,76,10,8.07,57113.0,33654.0,2.0,0
1,5,6,32,21,6.69,22202.0,10089.0,12.0,0
1,5,6,9,6,7.85,20478.0,8954.0,45.0,0
0,5,9,77,56,7.35,53553.0,23964.0,26.0,0
1,5,6,37,11,6.64,62432.0,31939.0,12.0,0
3,3,12,78,57,2.33,34485.0,24247.0,1.0,0
8,0,0,44,36,7.32,21146.0,11031.0,1.0,0
0,0,6,44,36,8.03,99088.0,61880.0,1.0,0
6,5,6,23,10,7.0,42757.0,20667.0,26.0,0
